ID_REDUTOR_VELOCIDADE;NUM_PROJETO_OPERACIONAL;ENDERECO_REFERENCIA;BAIRRO;REFERENCIA_LOCALIZACAO;DATA_IMPLANTACAO;DATA_ULTIMA_MANUTENCAO;GEOMETRIA
7304;22-VHF-0039542-2013;RUA TINGUI, 198;TIROL;ENTRE RUA MAJOR CLARINDO DE PAIVA E RUA LUPERCIO PAIXAO;2013-11-07 00:00:00;;LINESTRING (600102.11 7788805.02, 600097.60 7788809.37)
7305;26-VHF-0000078-2009;RUA TIPUANA, 600;JULIANA;ENTRE RUA FUCSIA E RUA B;2009-12-03 00:00:00;;LINESTRING (610668.48 7809091.76, 610665.82 7809098.66)
7306;26-VHF-0011007-2014;RUA TIZIU, 362;GOIÂNIA;ENTRE RUA JOSE APOLINARIO ABREU E RUA GRALHA;2015-02-10 00:00:00;;LINESTRING (615289.78 7802656.03, 615282.51 7802655.65)
7307;17-VHF-0031248-2010;RUA TOCANTINS, 90;CONJUNTO CELSO MACHADO;ENTRE RUA PONTALINA E RUA IBATIBA;2011-06-10 00:00:00;;LINESTRING (603918.01 7800956.06, 603919.98 7800965.20)
7308;17-VHF-0028195-2011;RUA TOCANTINS, 456;CONJUNTO CELSO MACHADO;ENTRE RUA IZABEL ALVES MARTINS E RUA OCIDENTAL;2011-07-10 21:00:00;2021-12-17 00:00:00;LINESTRING (603554.69 7801047.97, 603552.86 7801038.00)
7309;15-VHF-0000121-2010;RUA TOMBADOR, 145;NOVA CINTRA;ENTRE RUA JORNALISTA JOAO BOSCO E RUA ALEXANDRE MATHIAS ALVES;2012-05-25 00:00:00;;LINESTRING (605762.74 7793976.90, 605769.07 7793972.50)
7310;15-VHF-0000121-2010;RUA TOMBADOR, 290;VILA NOVA CINTRA;ENTRE RUA SAO JOSE E RUA REGIA;2012-06-27 00:00:00;;LINESTRING (605827.31 7794062.26, 605822.42 7794063.92)
7311;18-VHF-0065218-2013;RUA TORREMOLINOS, 89;EUROPA;ENTRE RUA GUERNICA E RUA NOSSA SENHORA DO CENACULO;2014-03-19 00:00:00;;LINESTRING (608128.04 7809588.31, 608122.24 7809592.39)
7313;22-VHF-0017151-2012;RUA TRES, 47;PILAR;ENTRE BEC ESCADAO E BEC DOS BAIANOS;2013-01-10 00:00:00;2020-06-19 00:00:00;LINESTRING (608657.83 7788738.82, 608676.23 7788733.89)
7314;22-VHF-0017151-2012;RUA TRES, 46;PILAR;ENTRE ROD BR TREZENTOS E CINQUENTA E SEIS E RUA QUATRO;2013-04-10 00:00:00;;LINESTRING (608537.81 7788449.49, 608543.50 7788444.93)
7315;;RUA TRES, 50;VISTA DO SOL;ENTRE RUA AMERICO ALVES E RUA TREZE;;2020-06-21 00:00:00;LINESTRING (616319.02 7804583.52, 616326.39 7804582.23)
7316;;RUA TRES MARIAS, 254;MIRAMAR;ENTRE RUA SOLAR E RUA TRIUNFO;;2014-08-12 00:00:00;LINESTRING (603245.39 7788792.58, 603247.64 7788785.89)
7317;26-VHF-0049560-2011;RUA TRINDADE, 643;RENASCENÇA;ENTRE RUA BOTUCATU E AVE CLARA NUNES;2012-09-06 00:00:00;;LINESTRING (610944.09 7800193.87, 610937.76 7800194.64)
7318;22-VHF-0033254-2012;RUA TRIUNFO, 195;BRASIL INDUSTRIAL;ENTRE RUA TELESCOPIO E RUA LUNETA;2013-03-28 00:00:00;;LINESTRING (603168.71 7788627.23, 603177.91 7788629.77)
7319;;RUA TURQUESA, 1265;PRADO;ENTRE RUA CUSTODIO CARREIRA E RUA SAGRES;;;LINESTRING (607818.21 7796215.08, 607816.90 7796221.46)
7320;;RUA TURQUESA, 1113;CALAFATE;ENTRE RUA TRES CORACOES E RUA CACHOEIRA DO CAMPO;;;LINESTRING (607954.15 7796236.55, 607951.21 7796242.22)
7321;20-VHF-0001651-2012;RUA UBERABA, 780;BARRO PRETO;ENTRE RUA BERNARDO GUIMARAES E RUA GONCALVES DIAS;2013-01-19 00:00:00;;LINESTRING (609177.20 7796442.24, 609165.74 7796445.30)
