ID_FISCALIZACAO_ELETRONICA;DESC_LOC_CONTROLADOR_TRANSITO;DESC_TIPO_CONTROLADOR_TRANSITO;VELOCIDADE_REGULAMENTAR;SENTIDO;SENTIDO_FISCALIZADO;NUM_SERIE_ATUAL;COD_SECUNDARIA;GEOMETRIA
962;"Av. Cristiano Machado, nº 1.950
";Controlador Eletrônico de Velocidade;60;Centro-Bairro;Único;118690021;G5105;POINT (612143.33 7800251.81)
963;"Av. Cristiano Machado, nº 1.950
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;118690021;G5105;POINT (612142.04 7800255.91)
964;"Av. Cristiano Machado, oposto ao nº 1.950
";Controlador Eletrônico de Velocidade;60;Bairro-Centro;Único;118690015;G5106;POINT (612133.07 7800261.30)
965;"Av. Cristiano Machado, oposto ao nº 1.950
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;Único;118690015;G5106;POINT (612132.30 7800265.66)
1063;"Rua Rio Grande do Norte,
esquina com Av. Getúlio
Vargas";Detector de Avanço de Semáforo;60;SAVASSI-SION;Único;58116;58116;POINT (611739.33 7795231.82)
1064;"Rua Rio Grande do Norte,
esquina com Av. Getúlio
Vargas";Detector de Avanço de Semáforo;60;SAVASSI-SION;Único;58114;58114;POINT (611746.45 7795235.85)
968;"Av. Presidente Antônio Carlos, oposto ao nº 8.281
";Controlador Eletrônico de Velocidade;60;Centro-Bairro;Único;516302914;G2104;POINT (608335.26 7804860.11)
1065;"Av. Afonso Pena, esquina Rua
dos Caetés";Detector de Avanço de Semáforo;60;Mangabeiras-Centro;Único;58113;58113;POINT (610913.72 7797437.98)
1066;"Av. Afonso Pena, esquina Rua
dos Caetés";Detector de Avanço de Semáforo;60;Mangabeiras-Centro;Único;58123;58123;POINT (610906.46 7797438.52)
1067;"Rua São Paulo, esquina com
Av. Afonso Pena";Detector de Avanço de Semáforo;60;Lourdes-Centro;Único;58124;58124;POINT (610975.51 7797256.90)
1068;"Rua São Paulo, esquina com
Av. Afonso Pena";Detector de Avanço de Semáforo;60;Centro-Mangabeiras;Único;58122;58122;POINT (610998.08 7797320.30)
1069;Av. Afonso Pena, nº 984;Detector de Avanço de Semáforo;60;Centro-Mangabeiras;Único;58120;58120;POINT (611247.67 7796807.15)
1070;Av. Afonso Pena, nº 984;Detector de Avanço de Semáforo;60;Centro-Mangabeiras;Único;58133;58133;POINT (611254.12 7796810.10)
1071;"Av. Afonso Pena, esquina com
Rua da Bahia";Detector de Avanço de Semáforo;60;Centro-Mangabeiras;Único;58117;58117;POINT (611288.51 7796742.40)
1072;"Av. Afonso Pena, esquina com
Rua da Bahia";Detector de Avanço de Semáforo;60;Centro-Mangabeiras;Único;58112;58112;POINT (611292.80 7796744.28)
1073;"Av. Afonso Pena, esquina com
Rua da Bahia";Detector de Avanço de Semáforo;60;Mangabeiras-Centro;Único;58115;58115;POINT (611302.21 7796752.88)
1074;"Av. Afonso Pena, esquina com
Rua da Bahia";Detector de Avanço de Semáforo;60;Mangabeiras-Centro;Único;58119;58119;POINT (611304.63 7796757.98)
878;"Av. dos Andradas, 405
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;"Santa Tereza-Floresta
";Único;1385;BRI1385;POINT (611488.34 7797186.88)
879;Av. dos Andradas, próximo ao 286;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;1373;BRI1373;POINT (611486.89 7797271.29)
880;"Av. dos Andradas, esquina Av. do Contorno
";Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1155;BRI1155;POINT (612603.75 7796910.91)
881;"Av. Nossa Senhora do Carmo, 665 (Pista interna)
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;Único;1424;BRI1424;POINT (611490.57 7794153.31)
882;"Av. Nossa Senhora do Carmo, 702 (Pista interna)
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;1540;BRI1540;POINT (611453.01 7794094.65)
883;"Av. Presidente Antônio Carlos, a 45 metros da R. Adalberto
Ferraz - Acesso a Pista Exclusiva para Ônibus";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;Único;1640;BRI1640;POINT (610723.54 7798196.49)
884;"Av. Presidente Antônio Carlos, a 45 metros da R. Adalberto
Ferraz - Acesso a Pista Exclusiva para Ônibus";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;1640;BRI1640;POINT (610722.96 7798207.72)
885;Av. Presidente Antônio Carlos, esquina Av. Antônio Abrahão Caram;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1365;BRI1365;POINT (608924.83 7803774.60)
887;Av. Presidente Antônio Carlos, esquina R. Estoril;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1391;BRI1391;POINT (609477.44 7802290.11)
888;Av. Presidente Antônio Carlos, esquina R. Padre Leopoldo Mertens;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1244;BRI1244;POINT (609448.98 7802370.84)
889;"Av. Presidente Antônio Carlos, 2672
";Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1837;BRI1837;POINT (609844.69 7800587.43)
890;"Av. Presidente Antônio Carlos, 4157
";Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1816;BRI1816;POINT (609440.17 7802288.28)
891;Av. Presidente Antônio Carlos, 7596;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1367;BRI1367;POINT (608848.92 7804093.38)
892;Av. Presidente Antônio Carlos, 7605;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1368;BRI1368;POINT (608813.50 7804090.08)
893;Av. Presidente Antônio Carlos, oposto ao 2672;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1742;BRI1742;POINT (609805.88 7800584.23)
894;Av. Risoleta Neves, entre Viad. Um Mil Novecentos e Setenta Nove e Pç. Corpo de Bombeiros Militar;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;Único;1618;BRI1618;POINT (612349.55 7803397.78)
895;"Av. Vilarinho, esquina R. Maçon Ribeiro
";Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1009;BRI1009;POINT (609705.69 7808239.84)
896;"Av. Nossa Senhora do Carmo, 289 (Pista interna)
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;Único;1393;BRI1393;POINT (611574.58 7794508.57)
897;Av. Vilarinho, esquina R. Cascalheira;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;1520;BRI1520;POINT (609359.88 7808724.61)
898;Av. Vilarinho, esquina R. Maçon Ribeiro;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1650;BRI1650;POINT (609738.26 7808230.16)
899;Av. Vilarinho, esquina R. Maçon Ribeiro;Detector de Conversão-Retorno em local Proibido;60;Centro-Bairro;Único;1650;BRI1650;POINT (609740.29 7808231.03)
900;Av. Vilarinho, esquina R. Maçon Ribeiro - Pista MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1619;BRI1619;POINT (609726.55 7808231.90)
901;Av. Vilarinho, esquina R. Maçon Ribeiro - Pista MOVE;Detector de Conversão-Retorno em local Proibido;60;Centro-Bairro;Único;1619;BRI1619;POINT (609729.07 7808232.19)
902;Av. Vilarinho, esquina R. Severino Lara;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;1518;BRI1518;POINT (609396.95 7808721.70)
903;"Av. Vilarinho, 1021
";Detector de Invasão de Faixa de Exclusiva - MOVE;60;Bairro-Centro;Único;1784;BRI1784;POINT (609708.45 7808248.07)
904;Av. Vilarinho, 1021;Detector de Invasão de Faixa de Exclusiva - MOVE;60;Centro-Bairro;Único;1784;BRI1784;POINT (609720.84 7808248.36)
983;"Av. Risoleta Neves, a 145 metros da R. Raimunda Rocha Alves
";Controlador Eletrônico de Velocidade;60;Bairro-Centro;Único;516302920;G5301;POINT (613127.15 7804844.28)
984;"Av. Risoleta Neves, a 152 metros da R. Raimunda Rocha Alves
";Controlador Eletrônico de Velocidade;60;Centro-Bairro;único;516303049;G5302;POINT (613138.57 7804833.64)
1023;Av. Dom Pedro I, oposto ao n.º 3000 - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;66;SPX066;POINT (609553.66 7807798.84)
1024;Av. Dom Pedro I, n.º 3000 - PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;67;SPX067;POINT (609560.11 7807783.26)
1025;Av. Presidente Antônio Carlos, oposto ao n.º 2672 - PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;68;SPX068;POINT (609816.95 7800591.58)
1026;Av. Presidente Antônio Carlos, n.º 2672 - PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;568;SPX568;POINT (609832.53 7800584.32)
1043;Av. Presidente Antônio Carlos, n.º 3203;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;93;GPX093;POINT (609832.11 7801056.39)
1044;Av. Presidente Antônio Carlos, n.º 3203;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;94;GPX094;POINT (609837.14 7801055.52)
1045;Av. Presidente Antônio Carlos, n.º 3212 – PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;91;GPX091;POINT (609854.86 7801039.26)
1046;Av. Presidente Antônio Carlos, n.º 3212;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;89;GPX089;POINT (609867.05 7801037.52)
1047;Av. Presidente Antônio Carlos, n.º 3212;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;90;GPX090;POINT (609863.18 7801037.91)
1048;Av. Presidente Antônio Carlos, entre Rua Viana do Castelo e Viaduto São Francisco – PISTA MOVE;Detector de Avanço de Semáforo;60;Bairro-Centro;Único;55;GPX055;POINT (609634.06 7801770.19)
1049;Av. Presidente Antônio Carlos, entre Viaduto São Francisco e Rua Viana do Castelo – PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;56;GPX056;POINT (609650.13 7801759.35)
1050;Av. Presidente Antônio Carlos, Oposto n.º 4157 – PISTA MOVE;Detector de Avanço de Semáforo;60;Centro-Bairro;Único;88;GPX088;POINT (609467.56 7802284.96)
