ID_SINALIZACAO_SEMAFORICA;COD_SINALIZACAO_SEMAFORICA;NOME;TP_TRAVESSIA_PEDESTRE;BOTOEIRA;BOTOEIRA_SONORA;LACO_DETECTOR_VEICULAR;QTD_TR_C_FOCO;QTD_TR_S_FOCO;GEOMETRIA
698;S7294;NOSSA SENHORA DO CARMO - MONTES CLAROS;Travessia Incompleta;Não;Não;Não;6;0;POINT (611547.17 7794419.40)
699;S7295;NOSSA SENHORA DO CARMO - MONTEVIDEU - MALDONADO;Somente Pedestre;Não;Não;Não;2;2;POINT (611224.31 7793632.92)
700;S7296;NOSSA SENHORA DO CARMO - OUTONO;Somente Pedestre;Não;Não;Não;1;0;POINT (611605.27 7794634.48)
701;S7297;NOSSA SENHORA DO CARMO - PASSATEMPO;Somente Pedestre;Não;Não;Não;1;0;POINT (611502.48 7794252.87)
1082;S6076;"ANDRADAS - MARIANO DE ABREU
";Travessia Incompleta;Não;Não;Não;3;0;POINT (615087.56 7798841.24)
1081;S7433;URUGUAI - SAO JOAO DO PARAISO;Somente Pedestre;Não;Não;Não;2;0;POINT (611836.85 7793115.08)
1121;S7434;RIO GRANDE DO NORTE - GONÇALVES DIAS;Travessia Incompleta;Não;Não;Não;1;3;POINT (611842.41 7795614.90)
767;S7363;PRUDENTE DE MORAIS - TEIXEIRA MENDES;Somente Pedestre;Sim;Não;Não;2;1;POINT (610072.89 7794728.41)
768;S7364;RAJA GABAGLIA - FLORIDA (PASSAGEM DE PEDESTRES);Somente Pedestre;Não;Não;Não;2;0;POINT (608693.47 7793729.52)
769;S7365;RAJA GABAGLIA - TRIBUNAL DE JUSTI?A (PASSAGEM DE PEDESTRES);Somente Pedestre;Sim;Não;Não;2;0;POINT (608756.33 7793952.19)
770;S7366;RAJA GABAGLIA - UNA RAJA (PASSAGEM DE PEDESTRES);Somente Pedestre;Sim;Não;Não;2;0;POINT (609114.77 7792912.98)
771;S7367;RIO DE JANEIRO - GUAICURUS;Travessia Total;Não;Não;Não;4;0;POINT (611159.24 7797520.22)
772;S7368;RIO DE JANEIRO - SHOPPING CIDADE;Somente Pedestre;Não;Sim;Não;1;0;POINT (610989.41 7796754.76)
773;S7369;RIO DE JANEIRO - TIMBIRAS;Travessia Total;Não;Não;Não;4;0;POINT (610869.64 7796306.99)
774;S7370;RIO GRANDE DO NORTE - AIMORES;Travessia Total;Não;Não;Não;4;0;POINT (611917.05 7795883.40)
775;S7371;RIO GRANDE DO NORTE - CLAUDIO MANOEL;Travessia Incompleta;Não;Não;Não;2;1;POINT (611807.60 7795479.20)
776;S7372;RIO GRANDE DO NORTE - SANTA RITA DURAO;Travessia Incompleta;Não;Não;Não;2;1;POINT (611773.33 7795341.97)
777;S7373;RIO GRANDE DO NORTE - TOME DE SOUZA;Travessia Incompleta;Não;Não;Não;2;1;POINT (611699.57 7795072.01)
778;S7374;RIO GRANDE DO SUL - TUPIS;Travessia Total;Não;Não;Não;4;0;POINT (610337.18 7797027.87)
779;S7375;RIO VERDE - MAJOR LOPES;Travessia Parcial;Não;Não;Não;1;1;POINT (611377.47 7794148.62)
780;S7376;RIO VERDE - PIUMHI;Travessia Incompleta;Não;Não;Não;2;2;POINT (611851.89 7794029.70)
781;S7377;RODOVIA MG30 - BH SHOPPING (RETORNO );Travessia sem Foco de Pedestre;Não;Não;Não;0;2;POINT (610155.39 7790682.75)
782;S7378;RODOVIA MG30 - BH SHOPPING (SAIDA DE VEICULOS);Travessia sem Foco de Pedestre;Não;Não;Sim;0;1;POINT (610222.96 7790785.63)
783;S7379;RODOVIA MG30 - BH SHOPPING (SAIDA DE VEICULOS);Travessia Incompleta;Sim;Não;Não;1;0;POINT (610329.99 7790857.43)
784;S7380;RODRIGUES CALDAS - ASSEMBLEIA LEGISLATIVA;Somente Pedestre;Não;Não;Não;1;0;POINT (609844.62 7795710.54)
785;S7381;SANTOS DUMONT - BAHIA;Travessia Total;Não;Não;Não;1;0;POINT (611451.90 7797404.42)
786;S7382;SANTOS DUMONT - CURITIBA;Travessia Total;Não;Não;Não;4;0;POINT (610906.23 7797550.26)
787;S7383;SANTOS DUMONT - ESPIRITO SANTO;Travessia Total;Não;Não;Não;7;0;POINT (611315.38 7797440.86)
788;S7384;SANTOS DUMONT - RIO DE JANEIRO;Travessia Total;Não;Não;Não;7;0;POINT (611135.40 7797431.67)
789;S7385;SANTOS DUMONT - SAO PAULO;Travessia Total;Não;Não;Não;7;0;POINT (611045.29 7797512.98)
790;S7386;SAO PAULO - CARIJOS;Travessia Total;Não;Não;Não;2;1;POINT (610948.90 7797154.13)
791;S7387;SAO PAULO - GOITACAZES;Somente Pedestre;Não;Sim;Não;1;2;POINT (610841.36 7796749.66)
792;S7388;SAO PAULO - GON?ALVES DIAS;Travessia Total;Não;Não;Não;4;0;POINT (610628.02 7795937.61)
794;S7390;SAO PAULO - OIAPOQUE;Somente Pedestre;Não;Não;Não;1;2;POINT (611093.44 7797691.10)
795;S7391;SAO PAULO - TIMBIRAS;Travessia Total;Não;Não;Não;4;0;POINT (610735.36 7796343.28)
796;S7392;SAO PAULO - TUPIS;Travessia Parcial;Não;Sim;Não;3;0;POINT (610878.55 7796883.83)
797;S7393;SAO ROMAO - VI?OSA;Travessia Incompleta;Não;Não;Não;2;2;POINT (611035.54 7794211.26)
798;S7394;SERGIPE - ANTONIO DE ALBUQUERQUE;Travessia Total;Não;Não;Não;4;0;POINT (611122.87 7795079.57)
799;S7395;SERGIPE - FERNANDES TOURINHO;Travessia Parcial;Não;Não;Não;3;0;POINT (611086.13 7794945.76)
800;S7396;SERGIPE - SANTA RITA DURAO;Travessia Total;Não;Não;Não;4;0;POINT (611185.04 7795442.28)
801;S7397;SERGIPE - TIMBIRAS;Travessia Total;Não;Não;Não;4;0;POINT (611367.40 7796119.74)
802;S7398;TAMOIOS - GUARANI;Travessia Total;Não;Não;Não;3;1;POINT (610604.68 7797101.85)
803;S7399;TAMOIOS - RIO DE JANEIRO;Travessia Total;Não;Não;Não;2;1;POINT (611049.89 7796983.72)
804;S7400;TAMOIOS - RIO GRANDE DO SUL;Travessia Total;Não;Não;Não;4;0;POINT (610373.45 7797162.53)
805;S7401;TIMBIRAS - RIO GRANDE DO SUL;Travessia Total;Não;Não;Não;4;0;POINT (610194.80 7796487.16)
806;S7402;TIMBIRAS - SANTA CATARINA;Somente Pedestre;Não;Não;Não;1;2;POINT (610465.21 7796415.03)
807;S7403;TUPINAMBAS - CURITIBA;Travessia Total;Não;Não;Não;4;0;POINT (610851.23 7797326.83)
808;S7404;TUPINAMBAS - GUARANI;Travessia Total;Não;Não;Não;4;0;POINT (610676.25 7797372.76)
